,username,date,content
72,half_indonesian,2021-06-10 06:06:32+00:00,✨PROMO #GRATIS NasGor✨ 2-30 Juni 2021 ✨ Order here 👉🏼 https://t.co/y7DLqFqlr0 #diskonmakanan #diskon #BTSMeal #BTSxMcD https://t.co/SD3361C3bS
73,Farhanalbariq_,2021-06-10 05:21:11+00:00,"setelah mencoba #BTSMeal sambel yang kuning rasanye kaya lem uhu anjir, lebih baik @McDonalds_ID mengembalikan ayam gule-nya"
74,ramansyah__,2021-06-10 05:07:57+00:00,Enak juga nih Nugget #BTSMeal pake nasi kecap 🤣 https://t.co/vACRytt7Q5
75,ramansyah__,2021-06-10 05:07:24+00:00,Bucin level xxx : pesenin @ridhakarimah bungkus #BTSMeal yang makan aku wkwkwk https://t.co/1w3SizV8VY
76,selvii_indriani,2021-06-10 04:42:12+00:00,Yuhuu 😍💜 #btsmeal #BTSxMcD https://t.co/jnA3cGnxeC
77,Mang_Yuga,2021-06-10 04:14:39+00:00,"IDOLA             dan      Penggermarnya

Kalo saja........Andaikan saja....
@B2WIndonesia 
#BTSMeal #Bicycle https://t.co/DrJR0jblER"
78,YudhistiraLee,2021-06-10 04:11:34+00:00,"@zhras_ iki game opo meneh toh, dik? 😅 gak minta kang ojolnya antri #BTSMeal sekalian? 🤭"
79,GojekOnly,2021-06-10 04:07:43+00:00,"Peregangan dulu mau on bid biar antri #BTSMeal gak terlalu pegel...

Yoooo....

📢 Mahh Anaconda Dont 🎶 https://t.co/EWxxLfa1go"
80,matchalahbuatlo,2021-06-10 04:04:24+00:00,Menu bts meal dihapus dari online food? Beneran udah abis????? #BTSMeal
81,willyarfredt,2021-06-10 03:51:43+00:00,"Opo lagi nyemoni aku..!!?

#ARMYINDONESIA #BTSMeal #BTSxMcD #BTS_Butter https://t.co/IZqpNuC61J https://t.co/2jBaQ1qhXn"
82,dinda_prmdk,2021-06-10 03:48:02+00:00,"https://t.co/wrHzXUk06Y
#BTSMeal #BTSxMcD #BTSxMcDonalds https://t.co/tJpd2lfPiA"
83,GangstaGojek,2021-06-10 01:44:27+00:00,"Event #BTSMeal #BTSxMcD nyatanya sampe 1 bulan selama Juni ini. 
Info dari @braddamamad bahwa gerai @McDonalds_ID di TB Simatupang pakai sistem buka tutup. 
Semoga seluruh gerai McD di seluruh Indonesia khususnya Jakarta &amp; Bekasi ikut sistem ini 💜"
